IBOV - Carteira do Dia 13/01/25
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.243.177.587;3,428;3,428;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.631.801;2,176;2,428;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;666.378.439;0,252;2,428;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;326.872.005;0,070;2,262;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;991.920.937;0,528;2,262;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,083;2,262;
Bens Indls/Transporte;STBP3;SANTOS BRP;ON      NM;855.712.622;0,581;2,262;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814.523.002;0,990;3,577;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.145.962.972;2,094;3,577;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302.019.876;0,263;3,577;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.359.935;0,069;3,577;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,161;3,577;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.394.835.131;2,535;2,535;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON  EJ  NM;1.345.832.968;0,391;0,608;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;532.664.283;0,151;0,608;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;462.534.972;0,066;0,608;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;850.935.197;0,554;0,554;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,173;0,173;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;136.643.320;0,213;1,082;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;1.051.120.777;0,697;1,082;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,110;1,082;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;293.689.428;0,062;1,082;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,120;0,120;
Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;533.959.816;0,010;0,010;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;273.755.006;0,234;0,333;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;377.241.484;0,099;0,333;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525.591.097;0,045;0,045;
